,Title,Date,Summary,Rating,Metascore
1,Small Axe: Lovers Rock,"Nov 27, 2020","A single evening at a house party in 1980s West London sets the scene, developing intertwined relationships against a background of violence, romance and music.",TV-MA,95
2,Collective,"Nov 20, 2020","Collective follows a heroic team of journalists as they uncover shocking, widespread corruption. After a deadly nightclub fire, the mysterious death of the owner of a powerful pharmaceutical firm, and the quiet resignation of a health minister—seemingly unrelated events, all within weeks of each other—the team of intrepid reporters exposes a much larger, much more explosive political scandal. COLLECTIVE is a fast-paced, real-time detective story about truth, accountability, and the value of an independent press in partisan times.",Not Rated,95
3,David Byrne’s American Utopia,"Oct 17, 2020","David Byrne’s American Utopia brings the critically acclaimed Broadway show to HBO in a one-of-a-kind film directed by Spike Lee. Recorded during its run at Broadway’s Hudson Theatre in New York City, David Byrne is joined by an ensemble of 11 musicians, singers, and dancers from around the globe, inviting audiences into a joyous dreamworld where human connection, self-evolution, and social justice are paramount.",TV-14,93
4,Never Rarely Sometimes Always,"Mar 13, 2020","Faced with an unintended pregnancy and a lack of local support, Autumn (Sidney Flanigan) and her cousin Skylar (Talia Ryder) embark across state lines to New York City on a fraught journey of friendship, bravery and compassion",PG-13,92
5,Time,"Oct 9, 2020","Fox Rich is a fighter. The entrepreneur, abolitionist and mother of six boys has spent the last two decades campaigning for the release of her husband, Rob G. Rich, who is serving a 60-year sentence for a robbery they both committed in the early 90s in a moment of desperation. Combining the video diaries Fox has recorded for Rob over the years with intimate glimpses of her present-day life, director Garrett Bradley paints a mesmerizing portrait of the resilience and radical love necessary to prevail over the endless separations of the country’s prison-industrial complex.",PG-13,91
6,First Cow,"Mar 6, 2020","A taciturn loner and skilled cook (John Magaro) has traveled west and joined a group of fur trappers in Oregon Territory, though he only finds true connection with a Chinese immigrant (Orion Lee) also seeking his fortune; soon the two collaborate on a successful business, although its longevity is reliant upon the clandestine participation of a nearby wealthy landowner’s prized milking cow.",PG-13,90
7,Small Axe: Mangrove,"Nov 20, 2020","Mangrove tells the story of a restaurant and its owner in London’s Notting Hill; repeated police harassment leads to a protest march where nine arrests are made and result in a show trial at the Old Bailey in 1971, making legal history.",TV-MA,90
8,Minari,"Dec 11, 2020","A tender and sweeping story about what roots us, Minari follows a Korean-American family that moves to a tiny Arkansas farm in search of their own American Dream. The family home changes completely with the arrival of their sly, foul-mouthed, but incredibly loving grandmother. Amidst the instability and challenges of this new life in the rugged Ozarks, Minari shows the undeniable resilience of family and what really makes a home. [A24]",PG-13,89
9,Gunda,"Dec 11, 2020","Experiential cinema in its purest form, Gunda chronicles the unfiltered lives of a mother pig, a flock of chickens, and a herd of cows with masterful intimacy. Using stark, transcendent black and white cinematography and the farm's ambient soundtrack, director Victor Kossakowsky invites the audience to slow down and experience life as his subjects do, taking in their world with a magical patience and an other worldly perspective. Gunda asks us to meditate on the mystery of animal consciousness, and reckon with the role humanity plays in it. [Neon]
",G,89
10,Dick Johnson Is Dead,"Oct 2, 2020","A lifetime of making documentaries has convinced the award-winning filmmaker Kirsten Johnson of the power of the real. But now she's ready to use every escapist movie-making trick in the book - staging inventive and fantastical ways for her 86-year-old psychiatrist father to die while hoping that cinema might help her bend time, laugh at pain, and keep her father alive forever.",PG-13,89
11,City Hall,"Oct 28, 2020","City government touches almost every aspect of our lives. Most of us are unaware of or take for granted these necessary services such as police, fire, sanitation, veterans affairs, elder support, parks, licensing of various professional activities, record keeping of birth, marriage and death as wells as hundreds of other activities that support Boston residents and visitors. City Hall, by Frederick Wiseman, shows the efforts by Boston city government to provide these services. The film also illustrates the variety of ways the city administration enters into civil discourse with the citizens of Boston. Mayor Walsh and his administration are presented addressing a number of their policy priorities which include racial justice, affordable housing, climate action, and homeless. City Hall shows a city government successfully offering a wide variety of services to a diverse population.",Not Rated,88
